date,cname,iso3,cases,deaths,cu_cases,cu_deaths,days_elapsed
2020-03-08,Norway,NOR,34,0,147,0,1
2020-03-08,Singapore,SGP,8,0,138,0,7
2020-03-08,South Korea,KOR,367,6,7134,50,16
2020-03-08,Spain,ESP,56,0,430,5,5
2020-03-08,Sweden,SWE,24,0,161,0,1
2020-03-08,Switzerland,CHE,55,0,264,1,1
2020-03-08,UK,GBR,43,1,206,2,2
2020-03-08,USA,USA,95,3,433,17,5
2020-03-09,Austria,AUT,3,0,102,0,0
2020-03-09,Belgium,BEL,31,0,200,0,2
2020-03-09,China,CHN,45,23,80859,3122,50
2020-03-09,France,FRA,410,9,1126,19,8
2020-03-09,Germany,DEU,55,0,902,0,8
2020-03-09,Iran,IRN,743,49,6566,194,11
2020-03-09,Italy,ITA,1492,133,7375,366,14
2020-03-09,Japan,JPN,33,1,488,7,16
2020-03-09,Netherlands,NLD,77,2,265,3,2
2020-03-09,Norway,NOR,22,0,169,0,2
2020-03-09,Singapore,SGP,12,0,150,0,8
2020-03-09,South Korea,KOR,248,1,7382,51,17
2020-03-09,Spain,ESP,159,0,589,5,6
2020-03-09,Sweden,SWE,42,0,203,0,2
2020-03-09,Switzerland,CHE,68,1,332,2,2
2020-03-09,UK,GBR,67,1,273,3,3
2020-03-09,USA,USA,121,4,554,21,6
2020-03-10,Australia,AUS,20,0,100,3,0
2020-03-10,Austria,AUT,29,0,131,0,1
2020-03-10,Bahrain,BHR,30,0,109,0,0
2020-03-10,Belgium,BEL,39,0,239,0,3
2020-03-10,China,CHN,20,17,80879,3139,51
2020-03-10,Denmark,DNK,75,0,113,0,0
2020-03-10,France,FRA,286,11,1412,30,9
2020-03-10,Germany,DEU,237,2,1139,2,9
2020-03-10,Iran,IRN,595,43,7161,237,12
2020-03-10,Italy,ITA,1797,98,9172,464,15
2020-03-10,Japan,JPN,26,2,514,9,17
2020-03-10,Malaysia,MYS,18,0,117,0,0
2020-03-10,Netherlands,NLD,56,0,321,3,3
2020-03-10,Norway,NOR,23,0,192,0,3
2020-03-10,Singapore,SGP,10,0,160,0,9
2020-03-10,South Korea,KOR,131,3,7513,54,18
2020-03-10,Spain,ESP,615,23,1204,28,7
2020-03-10,Sweden,SWE,45,0,248,0,3
2020-03-10,Switzerland,CHE,42,0,374,2,3
2020-03-10,UK,GBR,48,2,321,5,4
2020-03-10,USA,USA,200,5,754,26,7
2020-03-11,Australia,AUS,12,0,112,3,1
2020-03-11,Austria,AUT,51,0,182,0,2
2020-03-11,Bahrain,BHR,1,0,110,0,1
2020-03-11,Belgium,BEL,28,0,267,0,4
2020-03-11,China,CHN,29,22,80908,3161,52
2020-03-11,Denmark,DNK,151,0,264,0,1
2020-03-11,France,FRA,372,3,1784,33,10
2020-03-11,Germany,DEU,157,0,1296,2,10
2020-03-11,Iran,IRN,881,54,8042,291,13
2020-03-11,Italy,ITA,977,167,10149,631,16
2020-03-11,Japan,JPN,54,3,568,12,18
2020-03-11,Malaysia,MYS,12,0,129,0,1
2020-03-11,Netherlands,NLD,61,1,382,4,4
2020-03-11,Norway,NOR,85,0,277,0,4
2020-03-11,Singapore,SGP,6,0,166,0,10
2020-03-11,South Korea,KOR,242,6,7755,60,19
2020-03-11,Spain,ESP,435,7,1639,35,8
2020-03-11,Sweden,SWE,78,0,326,0,4
2020-03-11,Switzerland,CHE,116,1,490,3,4
2020-03-11,UK,GBR,52,1,373,6,5
2020-03-11,USA,USA,271,2,1025,28,8
2020-03-12,Australia,AUS,14,0,126,3,2
2020-03-12,Austria,AUT,64,0,246,0,3
2020-03-12,Bahrain,BHR,52,0,162,0,2
2020-03-12,Belgium,BEL,47,3,314,3,5
2020-03-12,Canada,CAN,10,0,103,1,0
2020-03-12,China,CHN,24,11,80932,3172,53
2020-03-12,Denmark,DNK,252,0,516,0,2
2020-03-12,France,FRA,497,15,2281,48,11
2020-03-12,Germany,DEU,271,1,1567,3,11
2020-03-12,Iran,IRN,958,63,9000,354,14
2020-03-12,Italy,ITA,2313,196,12462,827,17
2020-03-12,Japan,JPN,51,3,619,15,19
2020-03-12,Malaysia,MYS,20,0,149,0,2
2020-03-12,Netherlands,NLD,121,1,503,5,5
2020-03-12,Norway,NOR,212,0,489,0,5
2020-03-12,Qatar,QAT,238,0,262,0,0
2020-03-12,Singapore,SGP,12,0,178,0,11
2020-03-12,South Korea,KOR,114,6,7869,66,20
2020-03-12,Spain,ESP,501,12,2140,47,9
2020-03-12,Sweden,SWE,136,1,462,1,5
2020-03-12,Switzerland,CHE,152,1,642,4,5
2020-03-12,UK,GBR,83,0,456,6,6
2020-03-12,USA,USA,287,2,1312,30,9
2020-03-13,Australia,AUS,30,0,156,3,3
2020-03-13,Austria,AUT,115,1,361,1,4
2020-03-13,Bahrain,BHR,0,0,162,0,3
2020-03-13,Belgium,BEL,85,0,399,3,6
2020-03-13,Canada,CAN,35,0,138,1,1
2020-03-13,China,CHN,22,7,80954,3179,54
2020-03-13,Czech Republic,CZE,22,0,116,0,0
2020-03-13,Denmark,DNK,160,0,676,0,3
2020-03-13,Finland,FIN,96,0,155,0,0
2020-03-13,France,FRA,595,13,2876,61,12
2020-03-13,Germany,DEU,802,2,2369,5,12
2020-03-13,Greece,GRC,34,0,133,1,0
2020-03-13,Iceland,ISL,32,0,117,0,0
2020-03-13,Iran,IRN,1075,75,10075,429,15
2020-03-13,Italy,ITA,2651,189,15113,1016,18
2020-03-13,Japan,JPN,56,4,675,19,20
2020-03-13,Malaysia,MYS,9,0,158,0,3
